,0
aa,2
aachen,0
aamir,0
aan,1
aap,0
aaron,0
ab,0
abandon,1
abandoned,0
abandonment,0
abba,6
abbas,0
abbey,1
abbots,0
abbott,2
abbotts,1
abc,1
abdul,1
abdullah,0
abdulrahman,2
abe,0
abed,0
abel,0
aberdeen,0
abhi,0
abhishek,0
abi,0
abide,0
abilene,1
abilities,0
ability,1
abingdon,0
abit,0
able,5
ably,0
abnormal,0
abomination,1
aboriginal,1
abound,1
abreast,0
abroad,0
abrupt,0
abruptly,1
abs,0
absence,0
absolute,0
absolutely,3
absorb,0
abstinence,0
abstract,0
abstraction,0
abt,0
abu,1
abundance,1
abuse,2
abused,0
abuser,0
ac,0
acacia,0
academic,0
academics,0
academy,0
accent,0
accept,3
acceptable,1
acceptance,0
accepted,1
accepting,2
accepts,0
access,4
accessing,0
accessories,0
accessory,0
accident,0
accidentally,1
accolade,0
accommodate,1
accommodation,0
accompanied,1
accompaniment,0
accomplices,1
accomplished,1
accomplishing,0
accomplishment,0
accomplishments,0
accord,0
accordance,0
according,8
accordion,0
accordionist,0
account,1
accountability,0
accountable,1
accounts,0
acct,0
accumulated,0
accumulates,0
accurate,2
accurately,0
accusation,0
accusations,0
accused,0
accuses,1
ace,0
aces,0
ache,0
aches,0
achieve,3
achieved,1
achievement,0
achievements,1
achieving,1
aching,0
achoo,0
achtung,0
acid,0
acids,0
ack,0
acknowledge,0
acknowledging,1
aclu,1
acne,0
acorn,0
acoustic,0
acp,0
acquired,0
acquiring,0
acres,0
acrid,0
acrylic,13
act,4
acted,0
acting,1
action,4
actions,2
activate,0
activated,0
activates,0
active,4
actively,0
activism,0
activist,0
activists,1
activities,1
activity,3
actor,4
actors,1
actress,1
acts,1
actual,2
actually,10
acute,0
acutely,0
ad,0
ada,0
adam,1
adams,0
adapt,0
adaptability,0
adaptation,0
adapted,1
adapting,0
aday,0
add,1
added,3
addict,0
addicted,0
addiction,0
addictions,0
addicts,0
adding,0
addition,1
additional,1
additionally,0
additions,0
address,2
addressed,0
addresses,1
addressing,0
adds,1
addy,0
adelaide,1
adele,0
aden,0
adequate,28
adequately,1
adhere,0
adhered,0
adherents,0
adhesive,0
adidas,0
adios,0
aditi,0
adjacent,2
adjust,0
adjusted,0
adjusting,0
adjustment,0
adjustments,1
adjusts,0
admin,0
administer,0
administered,0
administration,3
administrations,1
administrative,1
admiral,0
admiralty,0
admire,0
admiring,0
admission,0
admit,0
admits,0
admittance,0
admitted,0
adnan,1
ado,0
adobe,5
adonis,0
adopt,0
adopted,2
adopter,0
adoption,0
adoptions,0
adoptive,0
adorable,0
adore,1
adrenaline,0
adrian,0
adriano,0
ads,0
adult,1
adulthood,0
adults,0
adv,0
advance,0
advanced,0
advancing,0
advantage,3
advantages,1
advent,0
adventist,0
adventure,2
adventures,4
adventurous,1
adversely,0
adversity,0
advert,0
advertisement,0
advertising,1
advice,29
advices,0
advise,2
advised,1
adviser,1
advisers,5
advises,0
advisor,0
advisors,0
advisory,3
advocate,1
advocates,0
advocating,0
ae,0
aerial,0
aero,1
aerobatics,0
aerobic,1
aerobics,3
aesthetic,0
aesthetics,0
af,1
afar,0
affair,1
affaire,0
affairs,0
affect,1
affected,10
affecting,2
affection,0
affectionate,0
affective,0
affects,0
afflicted,0
affliction,1
afford,0
affordable,2
afghan,0
afghanistan,0
aficionados,0
afloat,0
afm,0
afraid,15
africa,5
african,4
africans,1
afro,1
aftereffects,1
afterlife,0
aftermath,0
afternoon,0
afterthought,0
ag,0
agar,0
age,4
aged,0
ageing,0
agencies,0
agency,3
agenda,1
agent,1
agents,0
ages,0
aggression,0
aggressive,0
agility,0
aging,12
agitated,0
agnes,0
agony,0
agra,0
agree,0
agreed,1
agreement,1
agrees,0
agricultural,0
agriculture,0
aguilar,0
ah,1
ahead,2
ahh,0
ahhh,1
ahhhh,0
ahmad,0
ahmedabad,0
ahoy,0
ai,0
aid,2
aidan,0
aide,0
aides,0
aids,1
aileen,0
ails,0
aim,0
aimed,0
aiming,0
aims,0
ain,11
air,9
airbase,0
airborne,3
airbus,0
aircraft,0
aires,0
airlie,0
airline,1
airlines,0
airplane,2
airplanes,0
airport,3
airports,0
airs,0
airsoft,1
airways,0
aisles,0
aisling,0
aj,0
aja,1
aji,0
ajit,2
ak,0
aka,5
akai,0
akin,0
akira,0
akshay,0
al,4
ala,0
alabama,1
aladdin,0
alain,0
alamo,0
alamos,0
alan,0
alanna,0
alarm,1
alarming,2
alas,1
alaska,1
albans,0
albany,5
albatross,0
alberni,1
albert,1
alberta,3
alberto,2
albion,0
album,0
albums,0
albuquerque,0
alcatraz,0
alcohol,7
alcoholic,1
alcoholics,1
alcs,0
aldwych,0
ale,0
alert,5
alerted,0
alerting,0
alertness,0
alerts,0
alex,1
alexa,0
alexander,0
alexanderplatz,0
alexandra,0
alexandria,0
alexia,0
alf,0
alfonso,1
alfred,0
alfredo,1
algarve,2
algeria,0
algiers,0
algonquin,1
algorithm,0
ali,0
alias,0
alice,1
alicia,0
alien,0
aliens,1
align,0
aligned,0
alignment,0
alike,0
alison,0
alittle,0
alive,3
allah,3
allahabad,0
allegedly,0
allegory,0
allen,0
allergies,9
allergy,4
alleviate,1
alley,0
alliance,0
alligator,0
allison,0
alliteration,0
alllll,0
allocated,0
alloted,0
allotment,1
allow,7
allowance,1
allowed,1
allowing,2
allows,1
alls,0
alltogether,0
ally,0
allyson,0
alma,1
almighty,0
aloha,0
alok,0
aloma,0
aloo,0
aloof,0
alot,1
alpha,1
alphabetically,1
alpine,0
alps,0
alright,2
alrite,0
alt,1
alta,0
altar,0
altered,0
alternative,1
altitude,1
alto,0
aluminium,0
aluminum,0
alumna,0
alumni,1
alumnus,0
alums,0
alvarez,0
alway,0
alyssa,0
alzheimers,0
ama,1
aman,0
amanda,0
amando,0
amar,0
amara,0
amaro,0
amaze,1
amazed,0
amazing,3
amazingly,1
amazon,0
ambassador,0
ambassadors,0
amber,0
ambience,0
ambient,0
ambitious,0
amboy,0
ambulance,1
ambulances,1
amc,0
amelia,0
amen,3
amendment,1
america,8
americana,0
americans,3
ames,0
amg,1
ami,0
amigos,0
amin,0
amit,0
amity,0
amma,0
ammo,1
ammonia,1
amnesty,0
amor,1
amount,1
amp,37
ample,1
amplified,0
amplifying,0
amputated,0
amputation,0
amrita,0
amritsar,0
amruta,0
amsterdam,0
amusing,0
amy,1
ana,0
anagram,0
anaheim,0
analysing,0
analysis,0
analyst,0
analytical,0
anand,0
anastasia,0
anatomy,0
anc,0
ancestors,2
ancestry,0
anchor,0
ancient,1
anda,0
anders,0
anderson,0
andover,0
andrea,1
andrej,0
andrew,3
android,2
andy,0
anemic,1
anesthesiologist,1
ang,1
angel,1
angela,0
angeles,9
angels,0
anger,0
angered,0
angie,0
angle,1
angles,0
angling,0
angry,1
angst,0
anil,0
animal,0
animals,3
animated,0
animation,4
anime,0
anita,0
anja,0
ankles,0
ann,1
anna,1
annabelle,0
anne,0
annette,0
annie,0
anniversaries,7
anniversary,0
announce,4
announced,2
announcement,2
announcements,0
announces,3
announcing,0
annoyed,0
annoying,1
annual,1
anointed,1
anonymous,2
ans,0
ansonia,0
answer,1
answered,0
answering,1
answers,1
ant,0
antarctica,0
antes,0
anthem,2
anthems,0
anthony,1
anti,2
antibiotics,1
antibodies,0
antibody,1
anticipate,10
anticipated,0
